5983,20150101 09:59:04,Toast with Butter
5983,20150101 13:18:19,Cheeseburger and Chips
5983,20150101 21:24:44,Kung Pao chicken
5983,20150102 06:37:43,Baked Beans
5983,20150102 11:12:39,Hamburger and Chips
5983,20150102 19:58:45,Steak and Kidney
5983,20150103 09:33:24,Toast with Jam
5983,20150103 12:06:13,Steak and Potatoes
5983,20150103 17:12:10,Cheeseburger and Chips
5983,20150104 06:39:15,Toast with Jam
5983,20150104 13:04:13,Spaghetti and Meatballs
5983,20150104 19:31:43,Beef with Onion Gravy
5983,20150105 07:02:47,Toast with Jam
5983,20150105 14:07:25,Peri Chicken and Chips
5983,20150105 20:59:49,Roast Chicken and Vegetables
5983,20150106 10:46:58,Baked Beans
5983,20150106 12:40:49,Sushi
5983,20150106 19:38:05,Spaghetti and Meatballs
5983,20150107 07:20:26,Cumpet
5983,20150107 11:28:48,Bangers and Mash
5983,20150107 21:27:31,Spaghetti and Meatballs
5983,20150108 10:03:53,Toast with Jam
5983,20150108 14:42:52,Chicken Doner Wrap
5983,20150108 18:15:49,Fish and Chips
5983,20150109 09:54:33,Baked Beans
5983,20150109 15:00:15,Lamb with herb crumbs
5983,20150109 18:57:03,Lamb Doner Wrap
5983,20150110 09:38:53,Cereal
5983,20150110 11:04:33,Steak and Potatoes
5983,20150110 19:48:13,Chicken Doner Wrap
5983,20150111 10:44:25,Toast with Butter
5983,20150111 11:27:24,Spaghetti and Meatballs
5983,20150111 17:37:22,Fish and Chips
5983,20150112 06:54:45,Cookies
5983,20150112 12:30:33,Lamb Doner Wrap
5983,20150112 18:43:04,Lamb Doner Wrap
5983,20150113 10:33:23,Cookies
5983,20150113 13:24:49,Cumberland Pie
5983,20150113 19:04:11,Cheeseburger and Chips
5983,20150114 08:37:15,Toast with Jam
5983,20150114 13:12:01,Cheeseburger and Chips
5983,20150114 20:00:29,Margherita Pizza
5983,20150115 10:24:41,Cumpet
5983,20150115 12:50:07,Pork Pie
5983,20150115 21:30:55,Sweet and Sour pork
5983,20150116 10:18:52,Cereal
5983,20150116 14:32:53,Hamburger and Chips
5983,20150116 21:29:38,Peri Chicken and Chips
5983,20150117 09:37:33,Cumpet
5983,20150117 13:47:18,Chicken Tandoori
5983,20150117 18:16:31,Vegetable Soup
5983,20150118 08:49:57,Toast with Butter
5983,20150118 12:43:14,Pork Pie
5983,20150118 20:13:09,Cottage Pie
5983,20150119 09:36:40,Cereal
5983,20150119 11:03:40,Sushi
5983,20150119 18:43:17,Pork Pie
5983,20150120 06:04:29,Baked Beans
5983,20150120 13:57:59,Chicken Doner Wrap
5983,20150120 19:09:23,Peri Chicken and Chips
5983,20150121 08:51:53,Cumpet
5983,20150121 14:40:22,Steak and Kidney
5983,20150121 20:22:25,Bangers and Mash
5983,20150122 10:29:39,Toast with Jam
5983,20150122 12:13:47,Beef with Onion Gravy
5983,20150122 19:12:16,Chicken Tandoori
5983,20150123 09:00:08,Toast with Jam
5983,20150123 12:37:07,Beef with Onion Gravy
5983,20150123 18:41:35,Lamb with herb crumbs
5983,20150124 10:13:03,Cumpet
5983,20150124 11:39:35,Pulled Pork Sandwich
5983,20150124 21:19:24,Peri Chicken and Chips
5983,20150125 08:22:37,Toast with Butter
5983,20150125 14:48:05,Steak and Kidney
5983,20150125 18:04:19,Hamburger and Chips
5983,20150126 10:20:33,Toast with Jam
5983,20150126 11:35:54,Lamb and Mint Jelly
5983,20150126 20:06:13,Steak and Kidney
5983,20150127 08:46:30,Toast with Butter
5983,20150127 12:05:42,Bangers and Mash
5983,20150127 20:56:58,Steak and Kidney
5983,20150128 06:43:24,Toast with Butter
5983,20150128 13:27:38,Sushi
5983,20150128 18:28:00,Fish and Chips
5983,20150129 09:57:16,Baked Beans
5983,20150129 12:07:30,Roast Chicken and Vegetables
5983,20150129 17:57:45,Margherita Pizza
5983,20150130 08:09:50,Cereal
5983,20150130 11:35:59,Bangers and Mash
5983,20150130 18:37:32,Cottage Pie
5983,20150131 08:48:14,Cumpet
5983,20150131 13:14:01,Spaghetti and Meatballs
5983,20150131 17:13:29,Lamb Doner Wrap
5983,20150201 08:44:10,Toast with Butter
5983,20150201 14:38:40,Hamburger and Chips
5983,20150201 20:16:35,Roast Chicken and Vegetables
5983,20150202 09:09:28,Fruit Salad
5983,20150202 11:45:36,Lamb Doner Wrap
5983,20150202 18:08:38,Bangers and Mash
5983,20150203 06:48:42,Toast with Jam
5983,20150203 12:38:00,Pulled Pork Sandwich
5983,20150203 19:03:35,Cumberland Pie
5983,20150204 09:46:31,Cookies
5983,20150204 13:12:56,Chicken Doner Wrap
5983,20150204 18:04:39,Cottage Pie
5983,20150205 10:41:33,Cookies
5983,20150205 12:22:20,Vegetable Soup
5983,20150205 17:59:00,Steak and Kidney
5983,20150206 08:38:08,Toast with Jam
5983,20150206 13:45:02,Beef with Onion Gravy
5983,20150206 17:10:16,Sweet and Sour pork
5983,20150207 10:44:48,Cumpet
5983,20150207 14:22:12,Chicken Madras
5983,20150207 21:08:31,Cheeseburger and Chips
5983,20150208 07:51:17,Cookies
5983,20150208 11:17:44,Lamb with herb crumbs
5983,20150208 17:12:19,Chicken Madras
5983,20150209 07:30:03,Cereal
5983,20150209 13:35:12,Hamburger and Chips
5983,20150209 20:31:07,Steak and Kidney
5983,20150210 07:44:13,Fruit Salad
5983,20150210 12:08:13,Lamb with herb crumbs
5983,20150210 20:59:14,Lamb Doner Wrap
5983,20150211 08:40:01,Toast with Jam
5983,20150211 13:43:44,Pork Pie
5983,20150211 19:34:39,Spaghetti and Meatballs
5983,20150212 07:21:34,Cumpet
5983,20150212 12:45:38,Chicken Madras
5983,20150212 18:53:16,Cottage Pie
5983,20150213 06:33:06,Cookies
5983,20150213 11:30:29,Bangers and Mash
5983,20150213 18:04:42,Hamburger and Chips
5983,20150214 07:25:25,Fruit Salad
5983,20150214 13:33:39,Bangers and Mash
5983,20150214 17:28:00,Spaghetti and Meatballs
5983,20150215 08:56:54,Bacon and Eggs
5983,20150215 11:28:36,Lamb Doner Wrap
5983,20150215 21:59:31,Cheeseburger and Chips
5983,20150216 08:07:42,Bacon and Eggs
5983,20150216 13:33:33,Cheeseburger and Chips
5983,20150216 21:18:40,Steak and Kidney
5983,20150217 10:51:49,Fruit Salad
5983,20150217 12:37:28,Lamb with herb crumbs
5983,20150217 20:39:57,Chicken Tandoori
5983,20150218 09:13:38,Toast with Jam
5983,20150218 11:10:53,Sushi
5983,20150218 19:42:20,Hamburger and Chips
5983,20150219 10:24:37,Fruit Salad
5983,20150219 13:42:07,Sushi
5983,20150219 17:58:26,Chicken Tandoori
5983,20150220 09:09:10,Baked Beans
5983,20150220 11:30:29,Sushi
5983,20150220 17:24:46,Sushi
5983,20150221 07:25:12,Toast with Jam
5983,20150221 11:48:35,Lamb with herb crumbs
5983,20150221 20:22:21,Steak and Kidney
5983,20150222 07:05:02,Toast with Butter
5983,20150222 13:44:41,Lamb and Mint Jelly
5983,20150222 18:49:04,Pork Pie
5983,20150223 09:17:13,Cereal
5983,20150223 12:15:51,Chicken Madras
5983,20150223 17:27:11,Spaghetti and Meatballs
5983,20150224 07:43:08,Bacon and Eggs
5983,20150224 14:19:07,Pork Pie
5983,20150224 18:20:02,Spaghetti and Meatballs
5983,20150225 07:50:13,Toast with Jam
5983,20150225 14:58:09,Bangers and Mash
5983,20150225 17:48:19,Beef with Onion Gravy
5983,20150226 08:55:01,Toast with Jam
5983,20150226 12:05:12,Sushi
5983,20150226 20:42:00,Beef with Onion Gravy
5983,20150227 10:03:59,Cookies
5983,20150227 13:01:06,Vegetable Soup
5983,20150227 17:47:56,Bangers and Mash
5983,20150228 08:34:51,Cookies
5983,20150228 13:20:52,Chicken Doner Wrap
5983,20150228 17:48:53,Cottage Pie
5983,20150301 07:22:12,Baked Beans
5983,20150301 14:20:48,Pork Pie
5983,20150301 18:47:25,Lamb with herb crumbs
5983,20150302 10:09:01,Cookies
5983,20150302 12:14:55,Lamb with herb crumbs
5983,20150302 19:30:05,Sweet and Sour pork
5983,20150303 08:25:02,Cumpet
5983,20150303 14:15:37,Roast Chicken and Vegetables
5983,20150303 20:46:20,Beef with Onion Gravy
5983,20150304 06:05:13,Cookies
5983,20150304 13:51:05,Chicken Madras
5983,20150304 19:46:31,Steak and Potatoes
5983,20150305 10:54:38,Cereal
5983,20150305 13:59:11,Kung Pao chicken
5983,20150305 19:45:41,Pulled Pork Sandwich
5983,20150306 06:01:27,Toast with Jam
5983,20150306 11:05:57,Cottage Pie
5983,20150306 20:26:24,Sushi
5983,20150307 06:18:09,Cumpet
5983,20150307 13:45:13,Hamburger and Chips
5983,20150307 17:59:59,Bangers and Mash
5983,20150308 10:34:05,Toast with Jam
5983,20150308 12:23:55,Roast Chicken and Vegetables
5983,20150308 18:53:33,Cottage Pie
5983,20150309 10:58:07,Fruit Salad
5983,20150309 11:57:15,Peri Chicken and Chips
5983,20150309 17:42:09,Pork Pie
5983,20150310 08:15:31,Fruit Salad
5983,20150310 14:58:43,Cottage Pie
5983,20150310 18:40:27,Margherita Pizza
5983,20150311 09:08:38,Baked Beans
5983,20150311 11:15:10,Sweet and Sour pork
5983,20150311 18:41:24,Peri Chicken and Chips
5983,20150312 10:32:31,Cereal
5983,20150312 11:27:03,Sweet and Sour pork
5983,20150312 21:01:08,Margherita Pizza
5983,20150313 07:54:52,Cereal
5983,20150313 13:39:55,Beef with Onion Gravy
5983,20150313 17:35:22,Sweet and Sour pork
5983,20150314 08:11:50,Bacon and Eggs
5983,20150314 14:32:53,Bangers and Mash
5983,20150314 21:20:26,Lamb and Mint Jelly
5983,20150315 06:27:35,Baked Beans
5983,20150315 12:22:20,Cheeseburger and Chips
5983,20150315 17:09:28,Cheeseburger and Chips
5983,20150316 07:04:11,Cereal
5983,20150316 11:02:16,Roast Chicken and Vegetables
5983,20150316 17:00:40,Cheeseburger and Chips
5983,20150317 09:21:36,Toast with Butter
5983,20150317 13:06:40,Cheeseburger and Chips
5983,20150317 18:43:54,Chicken Tandoori
5983,20150318 08:04:19,Cereal
5983,20150318 12:19:48,Steak and Potatoes
5983,20150318 19:24:28,Steak and Potatoes
5983,20150319 09:20:02,Cookies
5983,20150319 14:00:54,Chicken Tandoori
5983,20150319 18:49:24,Roast Chicken and Vegetables
5983,20150320 08:22:24,Cumpet
5983,20150320 13:04:59,Cumberland Pie
5983,20150320 19:19:21,Roast Chicken and Vegetables
5983,20150321 10:46:28,Baked Beans
5983,20150321 13:12:17,Cheeseburger and Chips
